Timestep,Consumption,Power
200,2.30256315,9.210252599
201,2.295284054,9.181136214
202,2.276614536,9.106458144
203,2.257945018,9.031780073
204,2.24861026,8.994441038
205,2.239275501,8.957102003
206,2.229702778,8.918811113
207,2.220130056,8.880520223
208,2.215343695,8.861374778
209,2.210557333,8.842229333
210,2.221155249,8.884620994
211,2.226454206,8.905816825
212,2.237052121,8.948208486
213,2.242351079,8.969404316
214,2.323576475,9.294305902
215,2.364160118,9.456640472
216,2.445327403,9.781309611
217,5.485911045,21.94364418
218,5.647669093,22.59067637
219,5.728548117,22.91419247
220,5.890306166,23.56122466
221,5.97118519,23.88474076
222,5.601816179,22.40726472
223,5.674175066,22.69670026
224,5.81889284,23.27557136
225,5.891251726,23.5650069
226,5.998392393,23.99356957
227,6.105533059,24.42213224
228,6.159103392,24.63641357
229,6.255620473,25.02248189
230,6.249499974,24.9979999
231,6.237258977,24.94903591
232,6.231138479,24.92455392
233,6.19106872,24.76427488
234,6.118579825,24.4743193
235,6.082335377,24.32934151
236,6.009846482,24.03938593
237,5.991995998,23.96798399
238,5.95629503,23.82518012
239,5.938444546,23.75377818
240,5.902743578,23.61097431
241,5.875164528,23.50065811
242,5.820006429,23.28002571
243,5.792427379,23.16970952
244,5.747611423,22.99044569
245,5.328898078,21.31559231
246,5.255377656,21.02151062
247,5.108336813,20.43334725
248,5.062386549,20.2495462
249,4.989095426,19.9563817
250,4.915804302,19.66321721
251,4.87915874,19.51663496
252,4.842513179,19.37005271
253,4.841707458,19.36682983
254,4.840901737,19.36360695
255,4.840498877,19.36199551
256,4.840096017,19.36038407
257,4.878285761,19.51314304
258,5.411467417,21.64586967
259,5.449657161,21.79862864
260,5.468752033,21.87500813
261,5.515332421,22.06132968
262,5.538622615,22.15449046
263,5.585203003,22.34081201
264,5.608493198,22.43397279
265,5.623730602,22.49492241
266,5.631349304,22.52539722
267,5.646586709,22.58634684
268,5.654205411,22.61682164
269,5.592069824,22.3682793
270,5.561031087,22.24412435
271,5.498953611,21.99581444
272,5.467914874,21.87165949
273,5.386349406,21.54539762
274,5.345566672,21.38226669
275,5.264001205,21.05600482
276,5.223218471,20.89287389
277,2.235042767,8.940171068
278,2.240954915,8.96381966
279,2.252779211,9.011116843
280,2.258691358,9.034765434
281,2.270515654,9.082062617
282,2.276427802,9.105711208
283,2.288252098,9.153008391
284,2.294164246,9.176656982
285,2.305988541,9.223954165
286,2.311900689,9.247602757
287,2.323724985,9.29489994
288,2.329637133,9.318548531
289,2.338505355,9.354021418
290,2.338656447,9.354625787
291,2.338807539,9.355230156
292,2.338883085,9.35553234
293,2.338958631,9.355834525
294,2.324400439,9.297601755
295,2.317121342,9.268485369
