Timestep,Consumption,Electric_Power_kw
0.010416666666666666,4.146266308,16.58506523
0.020833333333333332,4.249915573,16.99966229
0.03125,4.252116181,17.00846473
0.041666666666666664,4.356209341,17.42483736
0.052083333333333336,4.3653041,17.4612164
0.0625,4.322523743,17.29009497
0.072916667,4.377657411,17.51062964
0.083333333,4.375314925,17.5012597
0.09375,4.348828252,17.39531301
0.10416666666666667,4.406593305,17.62637322
0.11458333333333333,4.367435133,17.46974053
0.125,4.431457779,17.72583112
0.13541666666666666,4.438988798,17.75595519
0.14583333333333334,4.396391722,17.58556689
0.15625,4.455400999,17.821604
0.16666666666666666,4.45137273,17.80549092
0.17708333333333334,4.427935194,17.71174078
0.1875,4.46718292,17.86873168
0.19791666666666666,4.446959383,17.78783753
0.20833333333333334,4.85440367,19.41761468
0.21875,4.580483761,18.32193505
0.22916666666666666,4.574356872,18.29742749
0.23958333333333334,4.796438818,19.18575527
0.25,4.940186444,19.76074578
0.2604166666666667,10.11990245,40.47960978
0.2708333333333333,10.11106641,40.44426562
0.28125,12.78660501,51.14642003
0.2916666666666667,13.16134145,52.6453658
0.3020833333333333,13.58342905,54.3337162
0.3125,12.19964602,48.79858408
0.3229166666666667,13.77738632,55.1095453
0.3333333333333333,14.71238024,58.84952098
0.34375,14.46388323,57.85553291
0.3541666666666667,14.65324604,58.61298416
0.3645833333333333,15.2372172,60.9488688
0.375,15.31367648,61.25470591
0.3854166666666667,15.09453158,60.37812632
0.3958333333333333,15.41067376,61.64269504
0.40625,15.6388873,62.55554919
0.4166666666666667,15.78350123,63.13400491
0.4270833333333333,16.3475348,65.39013919
0.4375,16.23297361,64.93189445
0.4479166666666667,16.26727831,65.06911324
0.4583333333333333,16.40140065,65.60560259
0.46875,16.44220731,65.76882925
0.4791666666666667,16.47418363,65.8967345
0.4895833333333333,16.47899852,65.91599406
0.5,16.48774345,65.95097381
0.5104166666666666,16.49786198,65.9914479
0.5208333333333334,16.51259617,66.05038468
0.53125,16.51177004,66.04708017
0.5416666666666666,16.50979492,66.03917968
0.5520833333333334,16.50625093,66.02500374
0.5625,16.50251336,66.01005344
0.5729166666666666,16.42753902,65.71015606
0.5833333333333334,16.35028455,65.40113822
0.59375,15.67369583,62.69478334
0.6041666666666666,15.53429645,62.13718578
0.6145833333333334,15.44794838,61.7917935
0.625,15.34063132,61.36252528
0.6354166666666666,14.99815413,59.99261651
0.6458333333333334,14.94276135,59.7710454
0.65625,14.80998591,59.23994365
0.6666666666666666,14.50786922,58.03147688
0.6770833333333334,13.78409422,55.13637688
0.6875,15.08519733,60.3407893
0.6979166666666666,15.24631234,60.98524934
0.7083333333333334,15.03150921,60.12603684
0.71875,14.76368876,59.05475505
0.7291666666666666,14.78963506,59.15854024
0.7395833333333334,14.97764768,59.91059072
0.75,14.6016499,58.40659961
0.7604166666666666,14.52240348,58.08961392
0.7708333333333334,14.82781402,59.31125607
0.78125,14.55400835,58.21603339
0.7916666666666666,14.20923208,56.83692832
0.8020833333333334,14.3459738,57.38389522
0.8125,14.26274162,57.05096647
0.8229166666666666,10.27547255,41.10189019
0.8333333333333334,10.32619719,41.30478878
0.84375,10.30885361,41.23541444
0.8541666666666666,9.912039643,39.64815857
0.8645833333333334,9.23590807,36.94363228
0.875,9.161184725,36.6447389
0.8854166666666666,4.690853831,18.76341532
0.8958333333333334,4.604009262,18.41603705
0.90625,4.678849445,18.71539778
0.9166666666666666,4.688546433,18.75418573
0.9270833333333334,4.264670102,17.05868041
0.9375,4.265810883,17.06324353
0.9479166666666666,4.227599932,16.91039973
0.9583333333333334,4.273041913,17.09216765
0.96875,4.300228233,17.20091293
0.9791666666666666,4.261485658,17.04594263
0.9895833333333334,4.322474535,17.28989814
1,4.658354797,18.63341919
1.0104166666666667,4.300887069,17.20354828
1.0208333333333333,4.372259801,17.4890392
1.03125,4.349128135,17.39651254
1.0416666666666667,4.409240331,17.63696132
1.0520833333333333,4.427917998,17.71167199
1.0625,4.388137161,17.55254864
1.0729166666666667,4.446100501,17.784402
1.0833333333333333,4.453097801,17.8123912
1.09375,4.41823248,17.67292992
1.1041666666666667,4.485698074,17.9427923
1.1145833333333333,4.451636043,17.80654417
1.125,4.519429978,18.07771991
1.1354166666666667,4.517354612,18.06941845
1.1458333333333333,4.465196018,17.86078407
1.15625,4.51432552,18.05730208
1.1666666666666667,4.463381761,17.85352704
1.1770833333333333,4.285779359,17.14311744
1.1875,4.347580322,17.39032129
1.1979166666666667,4.337030956,17.34812382
1.2083333333333333,4.754129651,19.0165186
1.21875,4.47219456,17.88877824
1.2291666666666667,4.458079728,17.83231891
1.2395833333333333,4.672277889,18.68911156
1.25,4.82748466,19.30993864
1.2604166666666667,9.997055497,39.98822199
1.2708333333333333,10.00884711,40.03538842
1.28125,12.7776362,51.11054482
1.2916666666666667,13.15374627,52.61498509
1.3020833333333333,13.57214759,54.28859036
1.3125,12.18981157,48.75924629
1.3229166666666667,13.77303446,55.09213784
1.3333333333333333,14.73499968,58.93999871
1.34375,14.46299816,57.85199265
1.3541666666666667,14.6474073,58.5896292
1.3645833333333333,15.22269441,60.89077766
1.375,15.26536498,61.06145994
1.3854166666666667,15.13309545,60.5323818
1.3958333333333333,15.39683018,61.58732074
1.40625,15.62952497,62.51809988
1.4166666666666667,15.71425411,62.85701645
1.4270833333333333,16.39980906,65.59923625
1.4375,16.23520103,64.94080413
1.4479166666666667,16.27094014,65.08376058
1.4583333333333333,16.3917196,65.5668784
1.46875,16.44140968,65.76563873
1.4791666666666667,16.47369883,65.89479533
