Timestep,Electric_Energy_kwh,Electric_Power_kw,,,
0.010416666666666666,6.041702334,24.166809337661864,,,
0.020833333333333332,6.19273412,24.77093648,,,
0.03125,6.195940721,24.783762885753728,,,
0.041666666666666664,6.347619325,25.390477301645955,,,
0.052083333333333336,6.360871688,25.443486751478023,,,
0.0625,6.298534597,25.194138386607857,,,
0.072916667,6.378872227,25.515488909100082,,,
0.083333333,6.375458891,25.50183556476817,,,
0.09375,6.336864025,25.347456100069053,,,
0.10416666666666667,6.421035959,25.684143835348284,,,
0.11458333333333333,6.363976908,25.455907633964184,,,
0.125,6.45726705,25.829068200454532,,,
0.13541666666666666,6.468240821,25.87296328221727,,,
0.14583333333333334,6.406170795,25.62468318,,,
0.15625,6.492155741,25.96862296524483,,,
0.16666666666666666,6.486285978,25.945143913060935,,,
0.17708333333333334,6.45213414,25.808536559924217,,,
0.1875,6.509323684,26.03729473657542,,,
0.19791666666666666,6.479855102,25.919420406034163,,,
0.20833333333333334,7.073559633,28.294238532197944,,,
0.21875,6.674419195,26.697676780145397,,,
0.22916666666666666,6.665491442,26.661965769102693,,,
0.23958333333333334,6.989096563,27.95638625078684,,,
0.25,7.19855739,28.794229561442762,,,
0.2604166666666667,10.37471499,41.49885997,,,
0.2708333333333333,10.36183962,41.44735848070983,,,
0.28125,14.26048158,57.04192632745978,,,
0.2916666666666667,14.80652611,59.226104450603955,,,
0.3020833333333333,15.42156805,61.68627218074326,,,
0.3125,13.40519849,53.62079395,,,
0.3229166666666667,15.7041915,62.81676600600829,,,
0.3333333333333333,17.06661121,68.26644485503364,,,
0.34375,16.70451556,66.81806224467734,,,
0.3541666666666667,16.98044423,67.92177691441589,,,
0.3645833333333333,17.83137363,71.32549453856058,,,
0.375,17.94278572,71.77114289558652,,,
0.3854166666666667,17.6234603,70.49384120332364,,,
0.3958333333333333,18.08412462,72.33649848163721,,,
0.40625,18.41666435,73.6666574,,,
0.4166666666666667,18.6273875,74.50955001676668,,,
0.4270833333333333,19.44926499,77.79705996115499,,,
0.4375,19.28233298,77.12933191481967,,,
0.4479166666666667,19.33231982,77.32927928706596,,,
0.4583333333333333,19.52775523,78.11102091236455,,,
0.46875,19.58721637,78.34886547484601,,,
0.4791666666666667,19.63381043,78.53524170538938,,,
0.4895833333333333,19.64082641,78.56330563566381,,,
0.5,19.65356903,78.61427612452883,,,
0.5104166666666666,19.66831317,78.67325266,,,
0.5208333333333334,19.68978299,78.75913196154653,,,
0.53125,19.68857921,78.75431682352017,,,
0.5416666666666666,19.68570117,78.74280467757767,,,
0.5520833333333334,19.68053708,78.72214830588446,,,
0.5625,19.6750909,78.70036358092459,,,
0.5729166666666666,19.56584257,78.26337026350133,,,
0.5833333333333334,19.45327178,77.81308711952224,,,
0.59375,18.46738536,73.86954143609627,,,
0.6041666666666666,18.26426053,73.05704213671628,,,
0.6145833333333334,18.13843906,72.55375625,,,
0.625,17.98206278,71.92825111676918,,,
0.6354166666666666,17.48302459,69.93209835,,,
0.6458333333333334,17.4023094,69.60923758328937,,,
0.65625,17.20883661,68.83534645805298,,,
0.6666666666666666,16.76860943,67.07443773669998,,,
0.6770833333333334,15.71396586,62.855863451685195,,,
0.6875,17.60985896,70.43943584328996,,,
0.6979166666666666,17.84462655,71.37850618777479,,,
0.7083333333333334,17.53162771,70.12651082560171,,,
0.71875,17.14137505,68.56550021814317,,,
0.7291666666666666,17.17918252,68.71673007,,,
0.7395833333333334,17.45314376,69.81257504796142,,,
0.75,16.90526129,67.62104514917195,,,
0.7604166666666666,16.78978793,67.15915171279048,,,
0.7708333333333334,17.23481471,68.93925884955536,,,
0.78125,16.83584073,67.34336293501134,,,
0.7916666666666666,16.33345246,65.33380983580382,,,
0.8020833333333334,16.53270469,66.13081874430621,,,
0.8125,16.4114235,65.64569400417875,,,
0.8229166666666666,10.60140286,42.40561142455646,,,
0.8333333333333334,10.67531591,42.701263647820035,,,
0.84375,10.65004383,42.60017533059267,,,
0.8541666666666666,10.07182919,40.287316775949435,,,
0.8645833333333334,9.086608901,36.346435605115516,,,
0.875,8.977726314,35.910905256700964,,,
0.8854166666666666,6.835244153,27.34097661293042,,,
0.8958333333333334,6.70869921,26.834796839417614,,,
0.90625,6.817752048,27.27100819,,,
0.9166666666666666,6.831881946,27.327527782076736,,,
0.9270833333333334,6.214233577,24.85693430955259,,,
0.9375,6.215895859,24.86358343523621,,,
0.9479166666666666,6.160217043,24.640868173699943,,,
0.9583333333333334,6.226432502,24.90573000720175,,,
0.96875,6.266046854,25.064187417490015,,,
0.9791666666666666,6.209593387,24.838373547334367,,,
0.9895833333333334,6.298462894,25.193851575469484,,,
1,6.787888419,27.15155367,,,
1.0104166666666667,6.267006872,25.068027487013353,,,
1.0208333333333333,6.371007139,25.484028554969854,,,
1.03125,6.337300997,25.349203986563783,,,
1.0416666666666667,6.424893053,25.699572213189363,,,
1.0520833333333333,6.452109083,25.808436333200753,,,
1.0625,6.39414272,25.57657088105382,,,
1.0729166666666667,6.478603587,25.914414347482218,,,
1.0833333333333333,6.488799653,25.95519861240959,,,
1.09375,6.437995899,25.75198359794529,,,
1.1041666666666667,6.536302908,26.14521163223968,,,
1.1145833333333333,6.486669663,25.946678651545806,,,
1.125,6.585455111,26.34182044359365,,,
1.1354166666666667,6.582431006,26.329724024506874,,,
1.1458333333333333,6.506428484,26.02571393437955,,,
1.15625,6.578017186,26.312068745997312,,,
1.1666666666666667,6.503784852,26.01513940816894,,,
1.1770833333333333,6.24499278,24.979971120876197,,,
