Timestep,Consumption,Electric_Power_kw
199,1.727954663,6.911818653
200,1.72826234,6.913049362
201,1.713308962,6.853235849
202,2.097396623,8.389586492
203,1.690878895,6.76351558
204,1.683402206,6.733608824
205,1.659501028,6.638004112
206,2.00637372,8.025494881
207,1.623769104,6.495076416
208,1.611858463,6.44743385
209,1.600795477,6.403181907
210,1.595263984,6.381055935
211,1.584200998,6.336803991
212,1.578669505,6.31467802
213,1.598438643,6.393754574
214,1.608323213,6.433292851
215,1.628092351,6.512369405
216,1.637976921,6.551907682
217,4.750065363,19.00026145
218,4.806069637,19.22427855
219,4.918078185,19.67231274
220,4.974082459,19.89632984
221,5.222148341,20.88859336
222,4.870875473,19.48350189
223,5.118941355,20.47576542
224,5.242974296,20.97189718
225,5.450894393,21.80357757
226,5.658814491,22.63525796
227,5.76277454,23.05109816
228,5.866734588,23.46693835
229,5.996505793,23.98602317
230,6.126276998,24.50510799
231,6.1911626,24.7646504
232,6.256048203,25.02419281
233,6.264128514,25.05651406
234,6.272208826,25.0888353
235,6.276248982,25.10499593
236,6.284329293,25.13731717
237,6.288369449,25.1534778
238,6.296449761,25.18579904
239,6.300489916,25.20195967
240,6.308570228,25.23428091
241,6.312610384,25.25044154
242,6.320690695,25.28276278
243,6.324730851,25.2989234
244,6.332811163,25.33124465
245,6.336851319,25.34740527
246,6.340891474,25.3635659
247,6.32218766,25.28875064
248,6.303483846,25.21393538
249,6.294131939,25.17652776
250,6.284780032,25.13912013
251,6.191242597,24.76497039
252,6.097705162,24.39082065
253,6.050936445,24.20374578
254,6.004167727,24.01667091
255,5.965956353,23.86382541
256,5.927744978,23.71097991
257,5.908639291,23.63455716
258,6.364839412,25.45935765
259,6.299501881,25.19800752
260,6.266833115,25.06733246
261,6.201495584,24.80598233
262,6.168826818,24.67530727
263,6.1328552,24.5314208
264,6.114869391,24.45947756
265,6.078897772,24.31559109
266,6.060911963,24.24364785
267,6.024940345,24.09976138
268,6.006954536,24.02781814
269,5.970982917,23.88393167
270,5.952997108,23.81198843
271,5.91702549,23.66810196
272,5.899039681,23.59615872
273,5.863068063,23.45227225
274,5.845082253,23.38032901
275,5.809110635,23.23644254
276,5.791124826,23.1644993
277,2.572620508,10.29048203
278,2.46336835,9.853473398
279,2.244864032,8.979456128
280,2.135611873,8.542447492
281,2.022650044,8.090600175
282,1.966169129,7.864676516
283,1.8532073,7.412829198
284,1.796726385,7.18690554
285,1.78869014,7.154760559
286,1.784672017,7.138688069
287,1.776635772,7.106543089
288,1.77261765,7.090470599
289,1.816830402,7.267321607
290,1.838936778,7.355747112
291,1.88314953,7.53259812
292,1.726416277,6.905665107
293,1.727031631,6.908126525
294,1.727339309,6.909357235
295,1.727954663,6.911818653
296,1.72826234,6.913049362
297,1.713308962,6.853235849
298,2.097396623,8.389586492
299,1.690878895,6.76351558
300,1.683402206,6.733608824
301,1.659501028,6.638004112
302,2.00637372,8.025494881
303,1.623769104,6.495076416
304,1.611858463,6.44743385
305,1.600795477,6.403181907
306,1.595263984,6.381055935
307,1.584200998,6.336803991
308,1.578669505,6.31467802
309,1.598438643,6.393754574
310,1.608323213,6.433292851
311,1.628092351,6.512369405
312,1.637976921,6.551907682
313,4.750065363,19.00026145
314,4.806069637,19.22427855
315,4.918078185,19.67231274
316,4.974082459,19.89632984
317,5.222148341,20.88859336
318,4.870875473,19.48350189
319,5.118941355,20.47576542
320,5.242974296,20.97189718
321,5.450894393,21.80357757
322,5.658814491,22.63525796
323,5.76277454,23.05109816
324,5.866734588,23.46693835
325,5.996505793,23.98602317
326,6.126276998,24.50510799
327,6.1911626,24.7646504
328,6.256048203,25.02419281
329,6.264128514,25.05651406
330,6.272208826,25.0888353
331,6.276248982,25.10499593
332,6.284329293,25.13731717
333,6.288369449,25.1534778
334,6.296449761,25.18579904
335,6.300489916,25.20195967
336,6.308570228,25.23428091
337,6.312610384,25.25044154
338,6.320690695,25.28276278
339,6.324730851,25.2989234
340,6.332811163,25.33124465
341,6.336851319,25.34740527
342,6.340891474,25.3635659
343,6.32218766,25.28875064
344,6.303483846,25.21393538
345,6.294131939,25.17652776
346,6.284780032,25.13912013
347,6.191242597,24.76497039
348,6.097705162,24.39082065
349,6.050936445,24.20374578
350,6.004167727,24.01667091
351,5.965956353,23.86382541
352,5.927744978,23.71097991
353,5.908639291,23.63455716
354,6.364839412,25.45935765
355,6.299501881,25.19800752
356,6.266833115,25.06733246
357,6.201495584,24.80598233
358,6.168826818,24.67530727
359,6.1328552,24.5314208
360,6.114869391,24.45947756
361,6.078897772,24.31559109
362,6.060911963,24.24364785
363,6.024940345,24.09976138
364,6.006954536,24.02781814
365,5.970982917,23.88393167
366,5.952997108,23.81198843
367,5.91702549,23.66810196
368,5.899039681,23.59615872
369,5.863068063,23.45227225
370,5.845082253,23.38032901
371,5.809110635,23.23644254
372,5.791124826,23.1644993
373,2.572620508,10.29048203
374,2.46336835,9.853473398
375,2.244864032,8.979456128
376,2.135611873,8.542447492
377,2.022650044,8.090600175
378,1.966169129,7.864676516
379,1.8532073,7.412829198
380,1.796726385,7.18690554
381,1.78869014,7.154760559
382,1.784672017,7.138688069
383,1.776635772,7.106543089
384,1.77261765,7.090470599
385,1.816830402,7.267321607
386,1.838936778,7.355747112
387,1.88314953,7.53259812
388,1.726416277,6.905665107
389,1.727031631,6.908126525
390,1.727339309,6.909357235
391,1.727954663,6.911818653
392,1.72826234,6.913049362
393,1.713308962,6.853235849
394,2.097396623,8.389586492
395,1.690878895,6.76351558
396,1.683402206,6.733608824
397,1.659501028,6.638004112
398,2.00637372,8.025494881
399,1.623769104,6.495076416
400,1.611858463,6.44743385
401,1.600795477,6.403181907
402,1.595263984,6.381055935
403,1.584200998,6.336803991
404,1.578669505,6.31467802
405,1.598438643,6.393754574
406,1.608323213,6.433292851
407,1.628092351,6.512369405
408,1.637976921,6.551907682
409,4.750065363,19.00026145
410,4.806069637,19.22427855
411,4.918078185,19.67231274
412,4.974082459,19.89632984
413,5.222148341,20.88859336
414,4.870875473,19.48350189
415,5.118941355,20.47576542
416,5.242974296,20.97189718
417,5.450894393,21.80357757
418,5.658814491,22.63525796
419,5.76277454,23.05109816
420,5.866734588,23.46693835
421,5.996505793,23.98602317
422,6.126276998,24.50510799
423,6.1911626,24.7646504
424,6.256048203,25.02419281
425,6.264128514,25.05651406
426,6.272208826,25.0888353
427,6.276248982,25.10499593
428,6.284329293,25.13731717
429,6.288369449,25.1534778
430,6.296449761,25.18579904
431,6.300489916,25.20195967
432,6.308570228,25.23428091
433,6.312610384,25.25044154
434,6.320690695,25.28276278
435,6.324730851,25.2989234
436,6.332811163,25.33124465
437,6.336851319,25.34740527
438,6.340891474,25.3635659
439,6.32218766,25.28875064
440,6.303483846,25.21393538
441,6.294131939,25.17652776
442,6.284780032,25.13912013
443,6.191242597,24.76497039
444,6.097705162,24.39082065
445,6.050936445,24.20374578
446,6.004167727,24.01667091
447,5.965956353,23.86382541
448,5.927744978,23.71097991
449,5.908639291,23.63455716
450,6.364839412,25.45935765
451,6.299501881,25.19800752
452,6.266833115,25.06733246
453,6.201495584,24.80598233
454,6.168826818,24.67530727
455,6.1328552,24.5314208
456,6.114869391,24.45947756
457,6.078897772,24.31559109
458,6.060911963,24.24364785
459,6.024940345,24.09976138
460,6.006954536,24.02781814
461,5.970982917,23.88393167
462,5.952997108,23.81198843
463,5.91702549,23.66810196
464,5.899039681,23.59615872
465,5.863068063,23.45227225
466,5.845082253,23.38032901
467,5.809110635,23.23644254
468,5.791124826,23.1644993
469,2.572620508,10.29048203
470,2.46336835,9.853473398
471,2.244864032,8.979456128
472,2.135611873,8.542447492
473,2.022650044,8.090600175
474,1.966169129,7.864676516
475,1.8532073,7.412829198
476,1.796726385,7.18690554
477,1.78869014,7.154760559
478,1.784672017,7.138688069
479,1.776635772,7.106543089
480,1.77261765,7.090470599
481,2.069702297,8.27880919
482,2.106444843,8.425779372
483,2.13583888,8.543355518
484,2.17492337,8.699693479
485,2.206659351,8.826637402
486,2.246329327,8.985317307
487,2.278065308,9.112261231
488,2.310874049,9.243496197
489,2.335748795,9.342995182
490,2.366842228,9.467368913
491,2.391716974,9.566867898
492,2.405218933,9.620875732
493,2.412502205,9.650008819
494,2.421606295,9.686425179
495,2.321435861,9.285743445
496,2.26694153,9.06776612
497,2.264476486,9.057905944
498,2.261518433,9.046073732
499,2.259053389,9.036213555
500,2.225837873,8.903351491
501,2.193238618,8.772954471
502,2.152489549,8.609958196
503,2.119890294,8.479561176
504,2.093495021,8.373980084
505,5.075249562,20.30099825
506,5.052442738,20.20977095
507,5.034197279,20.13678911
508,5.026788526,20.1071541
509,5.023941138,20.09576455
510,4.545076094,18.18030438
511,4.542228706,18.16891482
512,4.539355571,18.15742229
513,4.537194284,18.14877714
514,4.53438461,18.13753844
515,4.532223323,18.12889329
516,4.531271994,18.12508798
517,4.530752922,18.12301169
518,4.530159698,18.12063879
519,4.529665344,18.11866138
520,4.533209126,18.13283651
521,4.536851779,18.14740712
522,4.541014811,18.16405924
523,4.544484004,18.17793602
524,4.531215161,18.12486064
525,4.517252479,18.06900992
526,4.501295128,18.00518051
527,4.487997336,17.95198934
528,4.455356443,17.82142577
529,4.425375109,17.70150044
530,4.391110727,17.56444291
531,4.362557075,17.4502283
532,4.338637865,17.35455146
533,4.320429385,17.28171754
534,4.299619694,17.19847878
535,4.281411214,17.12564486
536,4.260601523,17.04240609
537,4.243260114,16.97304045
538,4.24826832,16.99307328
539,4.256744808,17.02697923
540,4.266432223,17.06572889
541,4.274505069,17.09802028
542,4.284373992,17.13749597
543,4.292628345,17.17051338
544,4.302061892,17.20824757
545,4.309923181,17.23969272
546,4.798867412,19.19546965
547,4.810933576,19.24373431
548,4.826016282,19.30406513
549,4.838082446,19.35232979
550,4.846470198,19.38588079
551,4.851841409,19.40736564
552,4.858555423,19.43422169
553,4.863926634,19.45570653
554,4.870289589,19.48115836
555,4.875309741,19.50123897
556,4.881584932,19.52633973
557,4.886605085,19.54642034
558,4.892880275,19.5715211
559,4.897900428,19.59160171
560,4.897507773,19.59003109
561,4.895860079,19.58344032
562,4.893800463,19.57520185
563,4.89215277,19.56861108
564,4.888890679,19.55556272
565,1.886040511,7.544162045
566,1.882477802,7.529911208
567,1.879627634,7.518510537
568,1.88565119,7.542604759
569,1.892387287,7.569549149
570,1.900807409,7.603229635
571,1.907543506,7.630174025
572,1.931824574,7.727298294
573,1.954421617,7.817686467
574,1.982667921,7.930671682
575,2.005264964,8.021059855
576,2.040308261,8.161233044
577,1.89413862,7.576554481
578,1.999989625,7.999958502
579,1.898950742,7.595802967
580,1.955030229,7.820120917
581,1.880149337,7.520597348
582,1.963705346,7.854821385
583,1.858300442,7.433201769
584,1.980554014,7.922216056
585,1.832304878,7.32921951
586,1.9578139,7.831255602
587,1.860348528,7.44139411
588,1.958489352,7.833957408
589,1.882975196,7.531900784
590,1.956844096,7.827376385
591,1.854774297,7.419097186
592,1.967011766,7.868047062
593,1.895441813,7.581767252
594,1.976588788,7.906355152
595,1.925263001,7.701052005
